name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Montgomery,Alabama,32.367,-86.3,2025-08-10,86.5,77.4,10.7,0.64,78,195818
Montgomery,Alabama,32.367,-86.3,2025-08-11,85.6,74.8,7.8,0.69,86,195818
Montgomery,Alabama,32.367,-86.3,2025-08-12,88.7,75.9,9.4,0.34,82,195818
Pierre,South Dakota,44.368,-100.351,2025-08-06,94.3,72.1,15.9,0.0,65,13788
Pierre,South Dakota,44.368,-100.351,2025-08-07,99.9,73.2,19.0,0.0,67,13788
Pierre,South Dakota,44.368,-100.351,2025-08-08,97.2,76.6,19.9,0.0,72,13788
Pierre,South Dakota,44.368,-100.351,2025-08-09,89.1,67.1,12.5,0.0,53,13788
Pierre,South Dakota,44.368,-100.351,2025-08-10,85.6,62.8,16.1,0.0,43,13788
Pierre,South Dakota,44.368,-100.351,2025-08-11,93.6,64.6,14.8,0.0,40,13788
Pierre,South Dakota,44.368,-100.351,2025-08-12,86.5,63.9,10.1,0.0,48,13788
Denver,Colorado,39.739,-104.984,2025-08-06,92.7,61.0,13.2,0.0,20,729019
Denver,Colorado,39.739,-104.984,2025-08-07,99.9,65.8,19.0,0.0,21,729019
Denver,Colorado,39.739,-104.984,2025-08-08,93.7,66.2,20.6,0.0,19,729019
Denver,Colorado,39.739,-104.984,2025-08-09,83.7,68.2,13.0,0.24,55,729019
Denver,Colorado,39.739,-104.984,2025-08-10,77.9,63.9,12.5,0.13,55,729019
Denver,Colorado,39.739,-104.984,2025-08-11,81.3,56.3,10.7,0.0,52,729019
Denver,Colorado,39.739,-104.984,2025-08-12,88.3,61.3,12.5,0.0,36,729019
Little Rock,Arkansas,34.746,-92.289,2025-08-06,91.6,73.0,7.8,0.0,65,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-07,94.1,73.4,10.7,0.0,62,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-08,98.6,76.3,11.6,0.0,60,204774
Little Rock,Arkansas,34.746,-92.289,2025-08-09,94.1,79.5,11.4,0.0,57,204774
