name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Cheyenne,Wyoming,41.14,-104.82,2025-08-04,87.8,56.3,17.7,0.0,41,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-05,90.7,57.9,19.0,0.0,20,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-06,93.2,55.9,21.7,0.0,22,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-07,92.1,61.2,17.2,0.0,26,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-08,87.4,64.4,21.5,0.0,25,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-09,78.8,60.1,12.3,0.2,62,65704
Tallahassee,Florida,30.438,-84.281,2025-08-03,89.4,76.5,6.5,0.0,82,205089
Tallahassee,Florida,30.438,-84.281,2025-08-04,80.2,75.0,6.0,0.33,94,205089
Tallahassee,Florida,30.438,-84.281,2025-08-05,90.9,77.0,8.7,0.77,78,205089
Tallahassee,Florida,30.438,-84.281,2025-08-06,87.3,73.6,8.5,0.0,85,205089
Tallahassee,Florida,30.438,-84.281,2025-08-07,87.8,75.0,8.1,0.15,78,205089
Tallahassee,Florida,30.438,-84.281,2025-08-08,87.6,75.7,6.3,0.56,75,205089
Tallahassee,Florida,30.438,-84.281,2025-08-09,85.5,76.1,6.7,0.67,80,205089
Jefferson City,Missouri,38.577,-92.173,2025-08-03,77.0,58.5,8.9,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-04,81.7,63.0,7.8,0.0,73,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-05,83.5,66.7,8.1,0.0,77,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-06,91.2,68.2,8.3,0.0,70,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-07,93.6,70.5,12.1,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-08,96.4,71.4,16.1,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-09,99.0,73.8,15.7,0.0,68,42564
Baton Rouge,Louisiana,30.451,-91.154,2025-08-03,86.7,78.4,6.9,0.56,81,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-04,89.8,75.6,7.8,0.0,75,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-05,92.3,76.6,5.6,0.0,75,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-06,93.2,75.7,4.9,0.17,76,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-07,90.7,75.4,5.1,0.0,77,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-08,92.8,76.5,6.5,0.14,78,220907
Baton Rouge,Louisiana,30.451,-91.154,2025-08-09,89.2,76.8,9.4,0.19,78,220907
Madison,Wisconsin,43.073,-89.401,2025-08-03,80.8,51.3,5.8,0.0,77,285300
Madison,Wisconsin,43.073,-89.401,2025-08-04,77.9,53.1,7.8,0.0,79,285300
Madison,Wisconsin,43.073,-89.401,2025-08-05,78.8,57.2,8.1,0.0,75,285300
Madison,Wisconsin,43.073,-89.401,2025-08-06,86.4,58.6,11.2,0.0,76,285300
Madison,Wisconsin,43.073,-89.401,2025-08-07,80.1,65.5,10.7,0.69,88,285300
Madison,Wisconsin,43.073,-89.401,2025-08-08,86.7,70.2,17.0,0.0,86,285300
Madison,Wisconsin,43.073,-89.401,2025-08-09,95.4,74.3,24.6,0.0,79,285300
Lansing,Michigan,42.733,-84.556,2025-08-03,84.9,61.0,7.4,0.0,62,114336
Lansing,Michigan,42.733,-84.556,2025-08-04,83.5,61.0,9.2,0.0,66,114336
Lansing,Michigan,42.733,-84.556,2025-08-05,82.4,63.9,8.5,0.0,65,114336
Lansing,Michigan,42.733,-84.556,2025-08-06,81.0,62.4,9.2,0.0,84,114336
Lansing,Michigan,42.733,-84.556,2025-08-07,83.7,65.3,6.9,0.0,73,114336
Lansing,Michigan,42.733,-84.556,2025-08-08,85.3,68.9,10.3,0.36,77,114336
Lansing,Michigan,42.733,-84.556,2025-08-09,90.5,72.0,15.0,0.0,71,114336
Denver,Colorado,39.739,-104.984,2025-08-03,89.1,60.8,14.1,0.0,31,729019
Denver,Colorado,39.739,-104.984,2025-08-04,95.5,60.8,13.4,0.0,27,729019
Denver,Colorado,39.739,-104.984,2025-08-05,91.4,61.5,10.3,0.0,15,729019
Denver,Colorado,39.739,-104.984,2025-08-06,92.7,61.0,13.2,0.0,20,729019
Denver,Colorado,39.739,-104.984,2025-08-07,99.9,65.8,19.0,0.0,21,729019
Denver,Colorado,39.739,-104.984,2025-08-08,93.7,66.2,20.6,0.0,19,729019
Denver,Colorado,39.739,-104.984,2025-08-09,83.7,68.2,13.0,0.24,55,729019
Dover,Delaware,39.158,-75.525,2025-08-03,81.5,69.8,12.1,0.0,67,40191
